0,1,2
41,1 tbsp.,sugar
42,1 c.,flour
42,1.25 tsp.,baking powder
42,.25 tsp.,salt
42,.333 c.,milk
42,.25 tsp.,vanilla
42,.333 c.,brown sugar
42,2 tbsp.,butter
43,5 c.,flour
43,3 tbsp.,sugar
43,4 tsp.,baking powder
43,1.5 pkg.,dry yeast
43,2 c.,buttermilk
43,1 tsp.,soda
43,1.5 sticks,margarine
43,.5 c.,warm water
44,2 tbsp.,margarine
44,.25 c.,crushed peppermint candy
45,.25 c.,water
45,2 whole,eggs
45,.5 c.,chopped nuts
46,1 c.,flour
47,3 c.,self rising flour
47,12 oz.,can beer
47,1 tbsp.,sugar
48,.125 tsp.,curry powder
48,1 pkg.,chopped broccoli
49,1 tsp.,vanilla
50,2 c.,water
50,1 tsp.,sugar
50,1 pkg.,Cup-a-Soup onion soup mix
50,1 lb.,can stewed tomatoes
50,8 oz.,can tomato sauce
51,1 c.,milk
51,1 pkg.,corn tortilla in pieces
52,.25 c.,finely chopped green pepper
52,1 tbsp.,vinegar
52,2 tsp.,sugar
52,1 tsp.,celery seed
52,.25 tsp.,salt
53,2 lb.,flounder
53,.333 c.,lemon juice
53,1 tbsp.,salad oil
53,2 tsp.,salt
53,2 tsp.,minced onion
53,1 tsp.,basil leaves
53,.25 tsp.,coarsely ground black pepper
54,.333 c.,water
55,16.5 oz.,can whole kernel corn
55,8 oz.,sour cream
56,1 lb.,ground beef
56,.333 c.,chopped onion
56,.333 c.,water
56,1 c.,cheese
57,1 tsp.,dry mustard
58,1 tbsp.,Worcestershire sauce
58,1 tsp.,dry mustard
58,2 tbsp.,mayonnaise
59,8 oz.,mild taco sauce
59,1 c.,Mozzarella cheese
61,1 lb.,orange sliced candy
61,2 c.,chopped pecans
61,1 tsp.,vanilla
61,1 tsp.,orange flavoring
62,1 c.,chopped nuts
62,8 oz.,softened cream cheese
62,1 lb.,powdered sugar
64,1 whole,cut up chicken
64,.5 c.,melted butter
64,1.5 c.,uncooked rice
65,1 can,sweetened condensed milk
65,.5 c.,crushed pineapple
65,.333 c.,chopped nuts
65,.333 c.,lemon juice
66,8 oz.,Jell-O sugar-free vanilla
66,8 oz.,Philadelphia light cream cheese
66,2 tbsp.,butter
66,2 tbsp.,peanut butter
67,1.25 c.,sugar
67,1.25 c.,sour cream
68,16 oz.,Cool Whip
68,2 pkg.,frozen strawberries *
68,1.75 c.,sugar
68,12 oz.,cream cheese
69,1.5 c.,graham cracker crumbs
69,.25 c.,granulated sugar
70,2 c.,sifted flour
70,1.5 tsp.,baking soda
70,1.5 c.,sugar
70,1 tsp.,vanilla
70,1 c.,milk
71,2 c.,raisins
71,1 c.,brown sugar
71,1 c.,granulated sugar
71,2 tbsp.,shortening
71,2 c.,cold water
71,3 c.,flour
71,2 tsp.,soda
71,1 tsp.,cinnamon
71,1 tsp.,nutmeg
71,1 tsp.,cloves
71,1 tsp.,salt
71,1 c.,nuts
72,8 oz.,sour cream
72,1 c.,grated Cheddar cheese
72,2 c.,crushed cornflakes
74,1 tsp.,vanilla
74,1 c.,chopped nuts
75,1 tsp.,cinnamon
75,.25 c.,sugar
75,1 c.,flour
76,2 c.,Bisquick
76,1 lb.,sausage
77,2 c.,rice
78,2 tbsp.,butter
78,1 lb.,ground beef
78,2 tbsp.,vinegar
78,2 tbsp.,lemon juice
78,2 tbsp.,brown sugar
78,1.5 tbsp.,mustard
78,1 tsp.,salt
78,1.5 tsp.,pepper
78,1 c.,catsup
78,1 c.,water
79,27.5 oz.,cans chicken broth
79,1 tbsp.,cornstarch
79,2 tbsp.,sliced green onion
80,1 tsp.,allspice
80,1 tsp.,whole cloves
80,1 c.,brown sugar
81,1 tbsp.,sesame seed
81,2 tsp.,grated ginger
81,2 tbsp.,honey
81,2 tbsp.,reduced-sodium soy sauce
83,12 oz.,bag raw cranberries
83,1 c.,sugar
84,1 c.,raw rice
85,6 pkg.,softened cream cheese
85,2 tbsp.,margarine
85,2 tbsp.,sugar
85,1 c.,whipping cream
86,2 lb.,Velveeta cheese
86,3 cloves,garlic
86,.5 tsp.,salt
87,1.333 c.,flour
88,4 lb.,confectioners sugar
88,1 c.,cocoa
88,1 c.,chopped nuts
88,1 lb.,margarine
88,1 lb.,Velveeta
88,1 tbsp.,vanilla
89,3 lb.,squash
89,1 pt.,sour cream
89,1 pkg.,Pepperidge Farm stuffing mix
90,2 pkg.,cream cheese
90,2 c.,shredded Cheddar cheese
90,1 tbsp.,chopped pimento
90,1 tbsp.,chopped green pepper
90,1 tbsp.,chopped onion
90,1 tsp.,lemon juice
90,2 tsp.,Worcestershire sauce
91,20 oz.,can crushed pineapple
92,3 c.,plain flour
92,2 sticks,margarine
92,.5 c.,butter flavor Crisco
92,1 c.,sweet milk
92,2 tbsp.,flavoring (lemon
93,1 c.,brown sugar
93,2 tbsp.,milk
94,8 oz.,can crescent rolls
94,1.5 c.,grated medium
94,1.5 c.,milk
95,1 whole,diced onion
95,.5 c.,grated Cheddar cheese
96,3 lb.,pork and beans
96,.5 c.,bell pepper
96,.333 c.,brown sugar
96,1 tsp.,salt
96,.333 tsp.,black pepper
96,1 lb.,ground beef
96,1 tbsp.,oil
97,2 c.,diced cooked chicken
97,2 c.,carrot chunks
97,1.25 c.,water
97,2 tbsp.,cornstarch
97,2 tbsp.,vinegar
97,1 tbsp.,soy sauce
97,1 c.,green pepper
97,8 oz.,pineapple chunks
98,.25 c.,sugar
98,1 c.,orange juice
99,1 c.,creamy peanut butter
99,1 c.,sugar
100,.333 c.,soft margarine
101,1 c.,flour
101,1 tsp.,soda
101,1 tsp.,salt
101,1 tbsp.,sugar
101,3 tbsp.,margarine
101,1 c.,buttermilk
102,.25 c.,butter
102,.25 lb.,mushrooms
102,.25 c.,chopped onion
102,1 c.,diced
102,2 c.,Ricotta cheese
102,1 c.,shredded Monterey Jack
103,1 c.,red cabbage
103,2 tbsp.,butter
103,1 tbsp.,brown sugar
103,1 tbsp.,vinegar
104,4 lb.,potatoes
104,3 tbsp.,flour
104,2 tsp.,salt
104,.25 tsp.,pepper
104,1 c.,cider vinegar
104,1 c.,water
105,2 tbsp.,butter
105,1 lb.,ground beef
105,3 c.,beef
105,1 c.,diced potatoes
105,1 c.,celery
105,1 c.,frozen green beans
106,1 lb.,2 jar Tang
106,1 pkg.,lemonade Kool Aid with sugar added
106,2 c.,sugar
106,1 tsp.,ground cloves
107,1 lb.,hamburg
108,1 c.,sugar
108,1.5 tsp.,vanilla
108,2.5 c.,flour
109,.25 c.,brandy
109,.25 c.,Triple Sec
110,1 lb.,cooked
110,1 c.,onion
110,1 c.,kidney beans
110,1 c.,butter beans
110,1 sm.,can mild green chilies
111,4 c.,quick cooking oats
111,2 c.,brown sugar
111,1 c.,salad oil
111,1 tsp.,almond extract
112,1 can,Campbell's cream of mushroom soup
112,.75 c.,water
112,1 c.,cashews
113,1 tbsp.,pimiento
114,16 oz.,cream cheese.667 can chopped black olives
115,3.5 c.,large shells
115,2 c.,cubed
115,2 c.,fresh
115,2 c.,fresh
115,1 c.,sliced carrots
116,2 tbsp.,water
116,2 c.,fresh mushrooms
116,2 tbsp.,finely chopped green onion
116,1 tbsp.,margarine
117,1 lb.,ground chuck
117,1 tsp.,shortening
117,16 oz.,can tomatoes
117,8 oz.,can tomato sauce
117,2 tsp.,salt
117,2 tsp.,sugar
117,5 pkg.,egg noodles
117,1 c.,sour cream
117,1 c.,grated cheese
118,12.5 oz.,can chunk white chicken
118,2 c.,chopped celery
118,1 pkg.,slivered almonds
118,1 c.,water chestnuts
118,.125 tsp.,pepper
118,1 tsp.,lemon juice
119,1.5 c.,sugar
119,1 tbsp.,meal
119,1 tbsp.,vinegar
119,1 tsp.,vanilla
120,1 lb.,vermicelli
120,1 lb.,fine chopped bell pepper
121,.333 c.,white vinegar
121,1 tsp.,salt
121,3 tbsp.,sugar
122,13 oz.,can cooked chicken
122,10 oz.,can cream of mushroom soup
122,10 oz.,can cream of chicken soup
122,10 oz.,can Rotel tomatoes
122,2 c.,cheese of your choice
122,1 tbsp.,steak seasoning
123,16 oz.,cream cheese
123,4 c.,shredded sharp cheese
123,.333 c.,mayonnaise
123,1 tsp.,Worcestershire sauce
123,.125 tsp.,garlic salt
123,.125 tsp.,celery salt
124,1 c.,miniature marshmallows.5 container Cool Whip
125,1 whole,egg
125,.5 c.,milk
125,1 c.,blueberries
126,1 c.,flour
126,1 pkg.,cream cheese
126,1 pkg.,Cool Whip
126,1 c.,powdered sugar
126,2 pkg.,instant vanilla pudding
126,3 c.,milk
127,1 tsp.,sugar
127,1 c.,all-purpose flour
128,2 whole,eggs
128,.5 tsp.,grated onion
129,2 lb.,ground beef
129,1 pkg.,dry onion mix
129,no.,3) can B & M beans
129,1 tsp.,chili powder
129,1 c.,ketchup
129,1 tbsp.,dry mustard
130,46 oz.,apricot nectar
130,1.25 c.,sugar
130,7 tbsp.,cornstarch
130,1 c.,chopped walnuts
131,4 oz.,sliced almonds
133,1 c.,mayonnaise
133,1 c.,grated Parmesan
134,2.5 lb.,onions
134,1 qt.,beef stock
134,1 qt.,chicken stock
134,2 tbsp.,Worcestershire sauce
134,1.5 tsp.,garlic salt
134,1 tsp.,black pepper
135,1 c.,sugar
135,2 tbsp.,flour
135,1 tsp.,cinnamon
136,1 lb.,hamburger
136,1 c.,ketchup
136,3 tbsp.,Worcestershire sauce
136,1 tbsp.,mustard
136,2 tbsp.,sugar
137,3 c.,flour
137,3 c.,sugar
138,1 c.,chopped candied dill pickles
138,1 tbsp.,Worcestershire sauce
138,2 tsp.,Nance mustard
138,3 tbsp.,pickle juice
139,3 tbsp.,cocoa
139,3 tbsp.,flour
139,2 tbsp.,butter
139,1 tsp.,vanilla
139,1 c.,boiling water
140,32 oz.,bag Tater Tots
140,2 lb.,ground beef
141,2.5 tbsp.,cornstarch
141,1 c.,water
141,3.5 tbsp.,blackberry flavored gelatin
141,4 c.,fresh blackberries
142,16 oz.,Cool Whip
142,2 c.,coconut
142,.75 c.,margarine
142,1 c.,slivered almonds
142,8 oz.,cream cheese
144,1 tbsp.,oil
144,5 oz.,frozen broccoli.5 stick margarine
144,1 pkg.,Jiffy cornbread mix
144,6 oz.,cottage cheese
145,1 c.,diced carrots
145,1 c.,small macaroni
145,1.5 lb.,ground turkey
145,14 oz.,can French green beans
145,1 tsp.,Italian seasoning
145,1 c.,sweet peas
146,.25 c.,cocoa
146,2 c.,flour
146,2 c.,sugar
146,1 tsp.,baking soda
146,1 tsp.,vanilla
147,1.5 c.,graham cracker crumbs
147,6 oz.,semi-sweet chocolate chips
147,1 c.,chopped nuts
148,1 c.,sugar
148,1 c.,packed brown sugar
148,.333 c.,evaporated milk.5 stick butter
148,1.5 c.,pecans
148,1.5 c.,coconut
149,1 pkg.,chopped pecans
150,1.333 c.,white sugar
150,6 tbsp.,butter
151,16 oz.,can pumpkin
152,.25 c.,sugar
153,9 c.,Chex cereal
153,1 c.,chocolate chips
153,.25 c.,margarine
153,1 tsp.,vanilla
154,16 oz.,can yellow hominy
154,32 oz.,cans tamales
154,2 c.,shredded mild Cheddar cheese
155,1 c.,sour cream
155,3 tbsp.,mayonnaise
155,1 pkg.,taco seasoning
155,1 c.,Mozzarella cheese
155,1 c.,cheddar cheese
156,4 c.,water
156,3 pkg.,dry yeast
156,2 tbsp.,salt
156,1 c.,sugar
157,2 c.,chicken
157,3 c.,chicken broth
157,1 whole,chopped onion
157,.75 c.,oleo
157,1.5 c.,milk
157,1.5 tsp.,baking powder
157,1.5 c.,self-rising flour
158,3 c.,chicken stock
158,1 pkg.,frozen artichoke hearts
158,2 t.,olive
158,1 c.,arborio
158,4 oz.,spinach
158,3 t.,grated parmesan cheese
159,1 tsp.,dried basil
159,1 tsp.,oregano
159,1 c.,dry red
160,1 pkg.,pistachio instant pudding mix
160,1 c.,ginger ale
160,3 whole,eggs
160,.5 c.,chopped pecans
160,1 pkg.,of pistachio instant pudding mix
161,2 c.,self-rising flour
161,1 c.,crushed walnuts
161,2 c.,sugar
161,2 tsp.,allspice
161,1 c.,oil
162,1 qt.,cranberry juice
162,1 qt.,ginger ale
162,1 c.,boiling water
162,6 oz.,frozen lemonade
162,3 c.,cold water
163,2 c.,sugar
163,2 c.,Milnot
164,2 c.,sugar
164,1 c.,Crisco oil
164,1 tsp.,vanilla flavor
164,1 tbsp.,butternut flavor
165,2 c.,all-purpose flour
165,1.5 c.,sugar
165,2 tsp.,baking soda
165,8 oz.,can crushed pineapple
165,1 c.,vegetable oil
165,2 tsp.,vanilla
166,1.75 c.,quick cooking long grain and wild rice
166,10.75 oz.,can French onion soup
166,2 tbsp.,melted butter
167,2 tbsp.,bacon drippings
167,1 tbsp.,flour
167,1 tsp.,salt
167,1 tsp.,sugar
167,16 oz.,can tomatoes
167,16 oz.,can green peas
168,1 c.,sugar
168,1.25 tsp.,cream of tartar
168,1 c.,chopped nuts
170,2 lb.,bag hash browns
170,1 pt.,sour cream
171,3 c.,flour
171,4.5 tsp.,baking powder
171,1 c.,milk
172,1 lb.,lean hamburger
172,1 pkg.,lasagne noodles
173,4 lb.,new potatoes
174,2 c.,milk
174,1 tsp.,vanilla
174,.25 c.,melted butter
174,1.5 c.,coconut
176,1 c.,sifted all-purpose flour
176,2 tbsp.,sugar
176,1 c.,milk
176,3 tbsp.,butter
177,1 whole,egg white
177,.667 c.,light brown sugar
177,1 tsp.,vanilla
177,4 c.,whole pecans
178,1 lb.,ground beef
178,14 oz.,Pizza Quick sauce
178,2 c.,shredded Mozzarella cheese
178,1 jar,sliced mushrooms
178,.75 c.,biscuit mix
178,1.5 c.,milk
179,12 pkg.,semi-sweet chocolate chips
179,14 oz.,can sweetened condensed milk
179,8.5 pkg.,chocolate wafers
179,1 c.,chopped nuts
181,1.25 c.,all-purpose flour
181,1 c.,sugar
181,1 tsp.,salt
181,1 c.,cut up dates
181,6 pkg.,semi-sweet chocolate chips
182,1 lb.,hamburger
182,2 tbsp.,oil
182,1 c.,cooked rice
182,1.5 c.,warm water
182,.25 c.,soy sauce
182,.25 tsp.,pepper
183,1 lb.,butter
185,1 box, yellow cake mix
185,.75 c.,water
186,1 whole,egg
186,.5 tsp.,vanilla
186,10 oz.,bag miniature Reese's peanut butter cups
187,.125 tsp.,onion powder
187,2 c.,croutons
187,1 c.,grated Velveeta
188,1 c.,brown sugar
188,1.75 c.,flour
188,1 c.,raisins
188,1.25 c.,applesauce
189,3 c.,flour
189,3 whole,eggs
189,.5 c.,water
190,4 c.,sugar
190,4 sq.,baking chocolate
190,9 oz.,bar milk chocolate
190,1 tbsp.,vanilla
190,2 c.,chopped nuts
191,1.5 c.,flour
191,6 oz.,chocolate chips
191,2 c.,chopped nuts
191,1 c.,candied cherries
192,2 tbsp.,confectioners sugar
192,1 tsp.,grated orange peel
193,.25 c.,cocoa
193,1 c.,sugar
193,2 whole,eggs
193,.5 c.,margarine at room temperature
193,.125 tsp.,salt
194,1 c.,water
194,1 c.,flour
194,3 pkg.,vanilla instant pudding
194,4 c.,milk
194,12 oz.,Cool Whip
195,1 c.,mandarin juice
196,1 c.,cocoa
196,1 c.,butter
196,1.5 c.,milk
196,2 tbsp.,vanilla
196,5 c.,peanut butter
197,1 tsp.,dried thyme
197,3 tbsp.,grated Parmesan cheese
198,20 oz.,can pineapple chunks
198,2 c.,grapes
198,2 c.,miniature marshmallows
198,1 c.,sliced strawberries
198,3 c.,chopped apples
198,2 tsp.,lemon juice
198,2 tsp.,orange juice
198,1 tbsp.,cornstarch
199,1 c.,sugar
199,3 tbsp.,cornstarch
199,1 tbsp.,butter
200,2 c.,sugar
200,2 c.,milk
200,2 tbsp.,cornstarch
200,2.5 tsp.,vanilla
201,5 c.,chicken broth
201,1 c.,chopped chicken
201,3 tbsp.,flour
201,2 tbsp.,water
202,4 lb.,beef brisket
202,1 c.,catsup
202,1 c.,water.5 onion
202,2 tbsp.,cider vinegar
202,1 tbsp.,prepared horseradish
202,1 tbsp.,prepared mustard
203,3 tbsp.,tapioca
203,16 oz.,can peach slices
203,16 oz.,bag frozen whole strawberries
204,1 c.,corn meal
204,1 c.,flour
204,2 tsp.,baking soda
204,1 c.,buttermilk
204,.25 c.,bacon fat
205,1 tbsp.,dry mustard
205,1 tsp.,ginger
206,2 lb.,pork tenderloin
206,1 tbsp.,oil
206,1 tbsp.,minced garlic
206,4 c.,water
206,3 tsp.,cornstarch
207,1 pkg.,dry yeast
207,4 c.,self-rising flour
207,2 c.,lukewarm water
207,.25 c.,sugar
208,3.5 c.,flour
208,3 tsp.,baking soda
208,1 c.,packed brown sugar
208,1 tbsp.,milk
208,2 tbsp.,vanilla
208,1 c.,cornflakes
208,12 pkg.,chocolate pieces
208,1 c.,granulated sugar
208,1 c.,vegetable oil
208,1 c.,quick oats
209,2 tbsp.,lemon juice
209,1 tbsp.,honey
209,1 tbsp.,rosemary
209,2 tbsp.,water
209,1 tbsp.,flax seed
209,1 tsp.,parsley
210,1 pt.,Cool Whip
211,2.5 c.,milk
211,2 whole,egg yolks
211,.667 c.,sugar
211,4 tbsp.,cornstarch
211,2 tsp.,vanilla
211,3 tbsp.,butter
212,2 tsp.,lemon juice
212,1 tsp.,salt
212,.25 c.,crumbled Blue cheese
212,2 c.,sliced red
213,.25 tsp.,cinnamon
213,.25 c.,sugar
213,4 tbsp.,lemon juice
214,1.5 c.,flour
214,1 tsp.,baking soda
214,1 tsp.,baking powder
214,1 tsp.,cinnamon
214,1 jar,junior strained carrots (baby food)
214,.5 c.,nuts
215,6 oz.,can frozen lemonade concentrate
215,6 c.,water.5 ??? grenadine syrup
215,1 qt.,ginger ale
217,1 lb.,ground beef
217,.125 c.,chopped onion
217,1 tsp.,Worcestershire sauce
217,.125 tsp.,pepper
217,2 c.,shredded cheese
218,2 c.,sugar
218,2 c.,flour
218,2 tsp.,cinnamon
218,1 tsp.,nutmeg
218,2 tsp.,soda
218,1 c.,oil
218,2 tsp.,baking powder
218,1 c.,chopped walnuts
219,1.5 lb.,sharp Cheddar cheese
219,1.5 tsp.,salt
219,1.5 tsp.,paprika
220,1 lb.,American cheese
221,1 c.,flour
221,1 stick,butter
221,.5 c.,chopped pecans
221,1 tbsp.,sugar
221,1 c.,powdered sugar
221,2 pkg.,instant pudding
221,3 c.,milk
222,1 lb.,ground beef
222,12 oz.,can pet milk
223,2 c.,flour
223,1 c.,sugar
223,1 tsp.,vanilla
223,1.25 c.,apples
224,2 tsp.,cinnamon
224,2.75 c.,flour
224,2 tsp.,cream of tartar
224,1 tsp.,baking soda
224,.25 tsp.,salt
224,2 tsp.,sugar
225,1 lb.,spaghetti
226,1 lb.,ground meat
226,1 tsp.,salt
226,1 tsp.,chili powder
227,1 c.,sour cream
228,1 whole,egg
228,.667 c.,water
228,1 tbsp.,vegetable oil
228,1 tsp.,lemon juice
228,1 c.,all-purpose flour
228,1.5 tsp.,baking powder
228,1.25 tsp.,salt
229,1 c.,White Lily Self Rising Flour
230,1 c.,cracker crumbs
230,1.5 lb.,ground chuck
230,4 tbsp.,finely chopped onion
230,1.5 tsp.,salt
230,1 tsp.,dry mustard
230,1 tbsp.,ketchup
230,1 c.,grated American cheese
231,1 tsp.,vanilla
231,.125 tsp.,salt
231,1 c.,chopped nuts
232,2 tbsp.,margarine
232,1 lb.,ground beef
232,1 c.,catsup
232,2 tbsp.,prepared mustard
232,2 tsp.,vinegar
232,1 lb.,can kidney beans
233,1 c.,brown sugar
233,1 c.,flour
233,.333 c.,shortening
234,2 c.,biscuit mix
234,1.5 tbsp.,sugar
234,6 oz.,warm beer
235,1 c.,chopped onion
235,1 c.,chopped green pepper
235,1 tbsp.,butter
235,2.25 oz.,can sliced ripe olives
235,2 tsp.,dried oregano
235,1 lb.,ground beef
235,12 oz.,spaghetti
235,16 oz.,shredded Cheddar cheese
235,10.75 oz.,can condensed cream of mushroom soup
236,1.5 c.,water
236,1 tsp.,apple pie spice
236,1 tsp.,vanilla
237,2 c.,hot water
238,8 oz.,cream cheese
238,1 tsp.,vanilla
239,1 lb.,can cream-style corn
239,1 tbsp.,butter
239,1 tbsp.,flour
239,3 tbsp.,sugar
239,1 c.,scalded milk
239,1 tsp.,salt
239,.125 tsp.,pepper
240,1 c.,strong black coffee
240,2 tsp.,baking powder
240,3 tbsp.,soft margarine
240,1 tsp.,baking soda
240,4 c.,flour
240,1 tsp.,cinnamon
241,12 oz.,can tomato paste
241,1 qt.,water
241,5 tsp.,chili powder
241,2 c.,shredded Monterey Jack cheese
241,1 doz.,corn tortillas
242,12 oz.,tomato juice
242,2 tbsp.,bell pepper
242,2 tbsp.,dehydrated onions
243,1 c.,sugar
243,6 tbsp.,flour
243,2 c.,grated Cheddar cheese
243,1.5 c.,crushed Ritz crackers
243,31 oz.,can pineapple chunks
244,2 lb.,chicken
244,3 c.,water
244,1.5 tsp.,salt
244,10 oz.,box frozen limas
244,1 c.,frozen
245,2 tbsp.,mayonnaise
245,1 tsp.,lemon juice
246,2 lb.,carrots
246,10 oz.,can tomato soup
247,2 c.,sugar
247,1 c.,shortening
247,1 tsp.,salt
247,2 tsp.,baking powder
247,2 tsp.,vanilla
247,3 c.,floured blueberries
248,6 c.,sliced yellow squash
248,1 c.,finely chopped onion
248,8 oz.,sour cream
250,4 c.,sifted flour
250,1.5 c.,shortening
250,1 whole,egg
250,.5 c.,ice cold water
250,1 tbsp.,vinegar
