,0,1
79,24,"['1 tsp.', 'Italian seasoning']"
80,25,"['1.5 lb', 'ground beef']"
81,25,"['1 c.', 'tomato juice,.75 c.', 'oats (uncooked)']"
82,25,"['1.5 tsp.', 'salt']"
83,26,"['2 lb', 'round steak,.5 tsp.', 'ground black pepper']"
84,26,"['1 tsp.', 'ground white pepper,.5 c.', 'vegetable oil']"
85,26,"['1 c.', 'beef stock or water']"
86,26,"['2 tsp.', 'salt']"
87,26,"['1 tsp.', 'ground red pepper']"
88,27,"['2 lb', 'round steak.5 to.75-inch thick']"
89,27,"['2 tbsp.', 'cooking oil']"
90,27,"['1/3 c.', 'water']"
91,27,"['2 tbsp.', 'brown sugar']"
92,27,"['1 tbsp.', 'prepared mustard']"
93,27,"['1 tbsp.', 'Worcestershire sauce']"
94,28,"['1 (12 oz.) pkg.', 'semi-sweet chocolate chips']"
95,28,"['1 (1 oz.) sq', 'unsweetened chocolate (if desired)']"
96,28,"['1.5 c.', 'chopped nuts (if desired)']"
97,28,"['1 tsp.', 'vanilla']"
98,29,"['1 lb', 'Ground Beef']"
99,29,"['1 pkg.', 'taco seasoning']"
100,30,"['1 c.', 'milk']"
101,30,"['2 tbsp.', 'sugar']"
102,30,"['1 pkg.', 'dry yeast']"
103,30,"['1 tbsp.', 'salt']"
104,30,"['3 tbsp.', 'Crisco oil']"
105,30,"['2 c.', 'plain flour']"
106,31,"['1 qt.', 'fresh strawberries']"
107,31,"['1 lb', 'white grapes']"
108,31,"['1 lb', 'purple grapes']"
109,32,"['1 pkg.', 'chicken cutlets,.5 c.', 'oil']"
110,32,"['1/3 c.', 'red vinegar']"
111,32,"['2 tbsp.', 'oregano']"
112,32,"['2 tbsp.', 'garlic salt']"
113,33,"['1 c.', 'ground nuts']"
114,34,"['1 tsp.', 'salt']"
115,34,"['1/4 tsp.', 'pepper']"
116,34,"['2 c.', 'half and half']"
117,34,"['3 c.', 'potatoes']"
118,34,"['1 c.', 'Cheddar cheese']"
119,34,"['1/3 c.', 'green onions']"
120,36,"['1 c.', 'mayonnaise']"
121,36,"['1 c.', 'Parmesan cheese']"
122,37,"['16 oz.', 'sour cream']"
123,37,"['1 pkg.', 'dry vegetable soup mix']"
124,37,"['10 oz.', 'pkg.', 'frozen chopped broccoli']"
125,37,"['4 to 6 oz.', 'Cheddar cheese']"
126,38,"['1 lb', 'very thin spaghetti,.5 bottle McCormick Salad Supreme (seasoning)']"
127,39,"['16 oz.', 'can pear halves']"
128,39,"['3 oz.', 'pkg.', 'lime gelatin']"
129,39,"['8 oz.', 'pkg.', 'cream cheese']"
130,39,"['8 oz.', 'carton lemon yogurt']"
131,40,"['7 lb', 'watermelon rind']"
132,40,"['7 c.', 'sugar']"
133,40,"['2 c.', 'apple vinegar,.5 tsp.', 'oil of cloves,.5 tsp.', 'oil of cinnamon']"
134,41,"['3 lb', 'chicken']"
135,41,"['16 oz.', 'can creamed corn']"
136,41,"['16 oz.', 'can English peas']"
137,41,"['16 oz.', 'can field peas']"
138,41,"['16 oz.', 'can butter beans']"
139,41,"['16 oz.', 'can tomatoes']"
140,41,"['46 oz.', 'can tomato juice']"
141,41,"['1 tbsp.', 'black pepper']"
142,41,"['1 tbsp.', 'salt']"
143,41,"['1 tbsp.', 'sugar']"
144,42,"['3 tbsp.', 'softened butter or margarine,.5 c.', 'granulated sugar']"
145,42,"['1 c.', 'flour']"
146,42,"['1 1/4 tsp.', 'baking powder']"
147,42,"['1/4 tsp.', 'salt']"
148,42,"['1/3 c.', 'milk']"
149,42,"['1/4 tsp.', 'vanilla']"
150,42,"['1/3 c.', 'brown sugar']"
151,42,"['2 tbsp.', 'butter or margarine']"
152,43,"['5 c.', 'flour']"
153,43,"['3 tbsp.', 'sugar']"
154,43,"['4 tsp.', 'baking powder']"
155,43,"['1.5 pkg.', 'dry yeast']"
156,43,"['2 c.', 'buttermilk']"
157,43,"['1 tsp.', 'soda']"
158,43,"['1.5 sticks margarine,.5 c.', 'warm water']"
159,44,"['2 tbsp.', 'margarine']"
160,44,"['1/4 c.', 'crushed peppermint candy']"
161,45,"['1/4 c.', 'water']"
162,45,"['1/4 c.', 'brown sugar,.5 c.', 'soft butter']"
163,45,"['2 eggs,.5 c.', 'chopped nuts']"
164,46,"['1 c.', 'flour']"
165,46,"['1 c.', 'sugar,.5 c.', 'oleo']"
166,47,"['3 c.', 'self rising flour']"
167,47,"['1 - 12 oz.', 'can beer']"
168,47,"['1 tbsp.', 'sugar']"
169,48,"['1/8 tsp.', 'curry powder']"
170,48,"['1 pkg.', 'chopped broccoli']"
171,49,"['1.5 c.', 'sifted flour,.5 tsp.', 'baking powder,.5 tsp.', 'salt,.5 c.', 'butter,.667 c.', 'sugar']"
172,49,"['1 tsp.', 'vanilla']"
173,50,"['2 c.', 'water']"
174,50,"['1 tsp.', 'sugar']"
175,50,"['1 pkg.', 'Cup-a-Soup onion soup mix (dry)']"
176,50,"['1 lb', 'can stewed tomatoes']"
177,50,"['8 oz.', 'can tomato sauce']"
178,50,"['10 oz.', 'pkg.', 'frozen mixed vegetables']"
179,51,"['1 c.', 'milk']"
180,51,"['1 pkg.', 'corn tortilla in pieces']"
181,52,"['4 c.', 'shredded cabbage,.5 c.', 'shredded carrots']"
182,52,"['1/4 c.', 'finely chopped green pepper']"
183,52,"['2 tbsp.', 'finely chopped onion,.5 c.', 'mayonnaise']"
184,52,"['1 tbsp.', 'vinegar']"
185,52,"['2 tsp.', 'sugar']"
186,52,"['1 tsp.', 'celery seed']"
187,52,"['1/4 tsp.', 'salt']"
188,53,"['2 lb', 'flounder or pollack fillets']"
189,53,"['1.5 c.', 'chopped tomatoes,.5 c.', 'chopped green pepper']"
190,53,"['1/3 c.', 'lemon juice']"
191,53,"['1 tbsp.', 'salad oil']"
192,53,"['2 tsp.', 'salt']"
193,53,"['2 tsp.', 'minced onion']"
194,53,"['1 tsp.', 'basil leaves']"
195,53,"['1/4 tsp.', 'coarsely ground black pepper']"
196,54,"['1 c.', 'sugar,.5 c.', 'salad oil,.667 c.', 'vinegar']"
197,54,"['1/3 c.', 'water']"
198,55,"['16.5 oz.', 'can whole kernel corn']"
199,55,"['8 oz.', 'sour cream']"
200,55,"['8.5 oz.', 'pkg.', 'Jiffy corn bread mix']"
201,56,"['1 lb', 'ground beef']"
202,56,"['1/3 c.', 'chopped onion']"
203,56,"['2 c.', 'cooked wide noodles,.5 tsp.', 'oregano,.5 tsp.', 'salt']"
204,56,"['1/3 c.', 'water']"
205,56,"['1 c.', 'cheese']"
206,57,"['1 tsp.', 'dry mustard']"
207,58,"['1 tbsp.', 'Worcestershire sauce']"
208,58,"['1 tsp.', 'dry mustard']"
209,58,"['2 tbsp.', 'mayonnaise']"
210,59,"['16 oz.', 'pkg.', 'cream cheese']"
211,59,"['8 oz.', 'mild taco sauce']"
212,59,"['1 c.', 'Mozzarella cheese']"
213,59,"['1 c.', 'Cheddar cheese,.5 c.', 'black olives (optional)']"
214,60,"['2 c.', 'coconut,.5 c.', 'nut meats (optional)']"
215,61,"['1 lb', 'orange sliced candy']"
216,61,"['2 c.', 'chopped pecans']"
217,61,"['1 tsp.', 'vanilla']"
218,61,"['1 tsp.', 'orange flavoring']"
219,62,"['1 c.', 'chopped nuts']"
220,62,"['8 oz.', 'softened cream cheese']"
221,62,"['1 lb', 'powdered sugar']"
222,64,"['1 cut up chicken,.5 c.', 'melted butter or margarine']"
223,64,"['1.5 c.', 'uncooked rice']"
224,65,"['8 oz.', 'pkg.', 'cream cheese']"
225,65,"['1 can sweetened condensed milk,.5 c.', 'crushed pineapple']"
226,65,"['1/3 c.', 'chopped nuts']"
227,65,"['1/3 c.', 'lemon juice']"
228,66,"['8 oz.', 'Jell-O sugar-free vanilla or French vanilla pudding (put in dry)']"
229,66,"['8 oz.', 'Philadelphia light cream cheese']"
230,66,"['2 tbsp.', 'butter']"
231,66,"['2 tbsp.', 'peanut butter or more if you would like']"
232,67,"['1 to 1 .25 c.', 'sugar']"
233,67,"['1 .25 c.', 'sour cream (use light)']"
234,68,"['16 oz.', 'Cool Whip']"
235,68,"['2 pkg.', 'frozen strawberries *']"
236,68,"['1.75 c.', 'sugar']"
237,68,"['12 oz.', 'cream cheese']"
238,69,"['1.5 c.', 'graham cracker crumbs']"
239,69,"['1/4 c.', 'granulated sugar']"
240,70,"['2 c.', 'sifted flour']"
241,70,"['1.5 tsp.', 'baking soda']"
242,70,"['1/4 tsp.', 'salt,.5 c.', 'shortening']"
243,70,"['1.5 c.', 'sugar']"
244,70,"['1 tsp.', 'vanilla']"
245,70,"['1 c.', 'milk']"
246,71,"['2 c.', 'raisins']"
247,71,"['1 c.', 'brown sugar']"
248,71,"['1 c.', 'granulated sugar']"
249,71,"['2 tbsp.', 'shortening']"
250,71,"['2 c.', 'cold water']"
251,71,"['3 c.', 'flour']"
252,71,"['2 tsp.', 'soda']"
253,71,"['1 tsp.', 'cinnamon']"
254,71,"['1 tsp.', 'nutmeg']"
255,71,"['1 tsp.', 'cloves']"
256,71,"['1 tsp.', 'salt']"
257,71,"['1 c.', 'nuts']"
258,72,"['6 c.', 'diced potatoes,.5 c.', 'chopped onion,.75 c.', 'melted butter']"
259,72,"['8 oz.', 'sour cream']"
260,72,"['1 c.', 'grated Cheddar cheese']"
261,72,"['2 c.', 'crushed cornflakes']"
262,74,"['2.667 c.', 'sugar,.667 c.', 'white corn syrup (Karo),.667 c.', 'cold water']"
263,74,"['1 tsp.', 'vanilla']"
264,74,"['1 c.', 'chopped nuts']"
265,75,"['1 tsp.', 'cinnamon']"
266,75,"['1/4 c.', 'sugar']"
267,75,"['1 c.', 'flour']"
268,76,"['2 c.', 'Bisquick']"
269,76,"['1 lb', 'sausage']"
270,76,"['8 oz.', 'pkg.', 'Cheddar cheese']"
271,77,"['2 c.', 'rice']"
272,78,"['2 tbsp.', 'butter']"
273,78,"['1 lb', 'ground beef']"
274,78,"['2 tbsp.', 'vinegar']"
275,78,"['2 tbsp.', 'lemon juice']"
276,78,"['2 tbsp.', 'brown sugar']"
277,78,"['1.5 tbsp.', 'mustard']"
278,78,"['1 tsp.', 'salt']"
279,78,"['1.5 tsp.', 'pepper']"
280,78,"['1 c.', 'catsup']"
281,78,"['1 c.', 'water']"
282,79,"['27.5 oz.', 'cans chicken broth']"
283,79,"['1 tbsp.', 'cornstarch']"
284,79,"['2 tbsp.', 'sliced green onion']"
285,80,"['1 tsp.', 'allspice']"
286,80,"['1 tsp.', 'whole cloves']"
287,80,"['1 c.', 'brown sugar']"
288,81,"['1 tbsp.', 'sesame seed']"
289,81,"['2 tsp.', 'grated ginger']"
290,81,"['2 tbsp.', 'honey']"
291,81,"['2 tbsp.', 'reduced-sodium soy sauce']"
292,82,"['16 oz.', 'pkg.', 'fresh mushrooms']"
293,83,"['12 oz.', 'bag raw cranberries']"
294,83,"['1 c.', 'sugar']"
295,83,"['3 oz.', 'pkg.', 'orange gelatin,.5 c.', 'nuts (optional)']"
296,84,"['1 c.', 'raw rice']"
297,85,"['2 (3 oz.) pkg.', 'softened cream cheese']"
298,85,"['2 tbsp.', 'margarine']"
299,85,"['2 tbsp.', 'sugar']"
300,85,"['16 oz.', 'can whole berry cranberry sauce,.75 c.', 'crushed pineapple']"
301,85,"['1 c.', 'whipping cream']"
302,86,"['2 lb', 'Velveeta cheese']"
303,86,"['3 cloves garlic,.5 tsp.', 'salt']"
304,87,"['1 1/3 c.', 'flour']"
305,87,"['1 .25 tsp.', 'salt,.5 tsp.', 'soda']"
306,87,"['2 tbsp.', 'sugar,.75 tbsp.', 'baking powder']"
307,88,"['4 lb', 'confectioners sugar']"
308,88,"['1 c.', 'cocoa']"
309,88,"['1 c.', 'chopped nuts']"
310,88,"['1 lb', 'margarine (not whipped)']"
311,88,"['1 lb', 'Velveeta']"
312,88,"['1 tbsp.', 'vanilla']"
313,89,"['3 lb', 'squash']"
314,89,"['1 pt.', 'sour cream']"
315,89,"['1 pkg.', 'Pepperidge Farm stuffing mix']"
316,90,"['2 pkg.', 'cream cheese']"
317,90,"['2 c.', 'shredded Cheddar cheese (8 oz.)']"
318,90,"['1 tbsp.', 'chopped pimento']"
319,90,"['1 tbsp.', 'chopped green pepper']"
320,90,"['1 tbsp.', 'chopped onion']"
321,90,"['1 tsp.', 'lemon juice']"
322,90,"['2 tsp.', 'Worcestershire sauce']"
323,91,"['1 large pkg.', 'apricot jello,.667 c.', 'sugar']"
324,91,"['8 oz.', 'pkg.', 'cream cheese']"
325,91,"['20 oz.', 'can crushed pineapple ']"
326,92,"['3 c.', 'plain flour (cake flour may be substituted for plain flour)']"
327,92,"['3 c.', 'sugar,.5 tsp.', 'baking powder']"
328,92,"['2 sticks margarine,.5 c.', 'butter flavor Crisco']"
329,92,"['1 c.', 'sweet milk']"
330,92,"['1 to 2 tbsp.', 'flavoring (lemon']"
331,93,"['1 c.', 'brown sugar']"
332,93,"['2 tbsp.', 'milk']"
333,94,"['8 oz.', 'can crescent rolls']"
334,94,"['1.5 c.', 'grated medium or sharp cheese']"
335,94,"['1.5 c.', 'milk']"
336,95,"['1 diced onion,.5 c.', 'grated Cheddar cheese']"
337,96,"['3 (1 lb.) cans pork and beans,.5 c.', 'bell pepper']"
338,96,"['1/3 c.', 'brown sugar']"
339,96,"['1 tsp.', 'salt']"
340,96,"['1/3 tsp.', 'black pepper']"
341,96,"['1 lb', 'ground beef']"
342,96,"['1 tbsp.', 'oil']"
343,97,"['2 c.', 'diced cooked chicken']"
344,97,"['2 tbsp.', 'shortening,.5 c.', 'onion (large chunks)']"
345,97,"['2 c.', 'carrot chunks']"
346,97,"['1 .25 c.', 'water']"
347,97,"['2 tbsp.', 'cornstarch']"
348,97,"['2 tbsp.', 'vinegar']"
349,97,"['1 tbsp.', 'soy sauce']"
350,97,"['1 c.', 'green pepper (large chunks)']"
351,97,"['8 oz.', 'pineapple chunks']"
352,98,"['1 c.', 'moist coconut,.5 c.', 'pecans']"
353,98,"['1/4 c.', 'sugar']"
354,98,"['1 c.', 'orange juice']"
355,99,"['1 c.', 'creamy peanut butter']"
356,99,"['1 c.', 'sugar']"
357,100,"['1/3 c.', 'soft margarine']"
358,100,"['1 c.', 'pecans,.5 c.', ""Bits 'O Brickle""]"
359,101,"['1 c.', 'flour']"
360,101,"['1 tsp.', 'soda']"
361,101,"['1 tsp.', 'salt']"
362,101,"['1 tbsp.', 'sugar']"
363,101,"['3 tbsp.', 'margarine']"
364,101,"['1 c.', 'buttermilk']"
365,102,"['1/4 c.', 'butter']"
366,102,"['1/4 lb', 'mushrooms']"
367,102,"['1/4 c.', 'chopped onion']"
368,102,"['1 c.', 'diced']"
369,102,"['2 c.', 'Ricotta cheese']"
370,102,"['1 c.', 'shredded Monterey Jack']"
371,102,"['10 oz.', 'pkg.', 'frozen spinach']"
372,103,"['1 c.', 'red cabbage']"
373,103,"['2 tbsp.', 'butter']"
374,103,"['1 tbsp.', 'brown sugar']"
375,103,"['1 tbsp.', 'vinegar']"
376,104,"['4 lb', 'potatoes']"
377,104,"['3 tbsp.', 'flour']"
378,104,"['2 tsp.', 'salt']"
379,104,"['1/4 tsp.', 'pepper']"
380,104,"['1 c.', 'cider vinegar']"
381,104,"['1 c.', 'water']"
382,105,"['2 tbsp.', 'butter']"
383,105,"['1 lb', 'ground beef or turkey']"
384,105,"['3 c.', 'beef or chicken broth']"
385,105,"['1 c.', 'diced potatoes']"
386,105,"['1 c.', 'celery']"
387,105,"['1 c.', 'frozen green beans']"
388,105,"['1 c.', 'dry red wine,.5 tsp.', 'basil']"
389,106,"['1 (1 lb', '2 oz.) jar Tang']"
390,106,"['1 pkg.', 'lemonade Kool Aid with sugar added']"
391,106,"['2 c.', 'sugar']"
392,106,"['1 tsp.', 'ground cloves']"
393,106,"['2 tsp.', 'cinnamon,.5 c.', 'instant tea']"
394,107,"['1 lb', 'hamburg']"
395,108,"['1 c.', 'sugar']"
396,108,"['1.5 tsp.', 'vanilla']"
397,108,"['2.5 c.', 'flour']"
398,108,"['1 tsp.', 'baking powder,.5 tsp.', 'salt']"
399,109,"['1/4 c.', 'brandy']"
400,109,"['1/4 c.', 'Triple Sec.']"
401,110,"['1 lb', 'cooked']"
402,110,"['1 c.', 'onion']"
403,110,"['1 c.', 'kidney beans']"
404,110,"['1 c.', 'butter beans']"
405,110,"['1 c.', 'baked beans,.75 c.', 'ketchup']"
406,110,"['1 sm', 'can mild green chilies']"
407,110,"['1 tsp.', 'beef bouillon,.5 c.', 'water']"
408,110,"['2 tbsp.', 'honey,.667 c.', 'bell pepper']"
409,110,"['1 tsp.', 'Worcestershire sauce,.5 tsp.', 'garlic pwd']"
410,111,"['4 c.', 'quick cooking oats']"
411,111,"['2 c.', 'brown sugar']"
412,111,"['1 c.', 'salad oil']"
413,111,"['1 tsp.', 'almond extract']"
414,112,"[""1 can Campbell's cream of mushroom soup,.75 c"", 'water']"
415,112,"['1 c.', 'cashews or peanuts']"
416,112,"['1 c.', 'chopped celery,.5 c.', 'finely chopped onion,.5 c.', 'cooked peas']"
417,113,"['8 oz.', 'pkg.', 'cream cheese']"
418,113,"['1 tbsp.', 'pimiento']"
419,114,"['16 oz.', 'cream cheese,.667 can chopped black olives']"
420,115,"['3.5 c.', 'large shells (uncooked)']"
421,115,"['2 c.', 'cubed']"
422,115,"['2 c.', 'fresh']"
423,115,"['2 c.', 'fresh']"
424,115,"['1 c.', 'sliced carrots']"
425,115,"['1 c.', 'sliced green onions,.5 lb', 'fresh mushrooms']"
426,115,"['1 c.', '(8 oz.', 'bottle) reduced calorie creamy Italian salad dressing,.75 c.', 'skim milk']"
427,116,"['9 oz.', 'pkg.', 'frozen artichoke hearts']"
428,116,"['2 tbsp.', 'water']"
429,116,"['2 c.', 'fresh mushrooms']"
430,116,"['2 tbsp.', 'finely chopped green onion']"
431,116,"['1 tbsp.', 'margarine or butter']"
432,117,"['1 lb', 'ground chuck']"
433,117,"['1 tsp.', 'shortening']"
434,117,"['16 oz.', 'can tomatoes']"
435,117,"['8 oz.', 'can tomato sauce']"
436,117,"['2 tsp.', 'salt']"
437,117,"['2 tsp.', 'sugar']"
438,117,"['1 (5 oz.) pkg.', 'egg noodles']"
439,117,"['1 c.', 'sour cream']"
440,117,"['3 oz.', 'pkg.', 'cream cheese']"
441,117,"['1 c.', 'grated cheese']"
442,118,"['12.5 oz.', 'can chunk white chicken']"
443,118,"['2 c.', 'chopped celery']"
444,118,"['1 small pkg.', 'slivered almonds']"
445,118,"['1 c.', 'water chestnuts']"
446,118,"['1 c.', 'white grapes,.5 tsp.', 'salt']"
447,118,"['1/8 tsp.', 'pepper']"
448,118,"['1 tsp.', 'lemon juice']"
449,119,"['1.5 c.', 'sugar']"
450,119,"['1 tbsp.', 'meal']"
451,119,"['1 tbsp.', 'vinegar']"
452,119,"['1 tsp.', 'vanilla']"
453,120,"['1 lb', 'vermicelli']"
454,120,"['1 lb', 'fine chopped bell pepper']"
455,121,"['1/3 c.', 'white vinegar']"
456,121,"['1 tsp.', 'salt']"
457,121,"['3 tbsp.', 'sugar']"
458,122,"['13 oz.', 'can cooked chicken']"
459,122,"['10 oz.', 'can cream of mushroom soup']"
460,122,"['10 oz.', 'can cream of chicken soup']"
461,122,"['10 oz.', 'can Rotel tomatoes']"
462,122,"['1 to 2 c.', 'cheese of your choice']"
463,122,"['16 oz.', 'pkg.', 'spaghetti']"
464,122,"['1 tbsp.', 'steak seasoning']"
465,123,"['16 oz.', 'cream cheese']"
466,123,"['4 c.', 'shredded sharp cheese']"
467,123,"['1/3 c.', 'mayonnaise']"
468,123,"['1 tsp.', 'Worcestershire sauce']"
469,123,"['1/8 tsp.', 'garlic salt']"
470,123,"['1/8 tsp.', 'celery salt']"
471,123,"['1/8 tsp.', 'onion salt,.5 c.', 'chopped pimento']"
472,124,"['1 c.', 'miniature marshmallows,.5 container Cool Whip (small)']"
473,125,"['1 egg,.5 c.', 'milk']"
474,125,"['1.5 c.', 'flour,.5 c.', 'sugar']"
475,125,"['2 tsp.', 'baking powder,.5 tsp.', 'salt']"
476,125,"['1 c.', 'blueberries (optional)']"
477,126,"['1 c.', 'flour']"
478,126,"['1 large pkg.', 'cream cheese']"
479,126,"['1 large pkg.', 'Cool Whip']"
480,126,"['1 c.', 'powdered sugar']"
481,126,"['2 large pkg.', 'instant vanilla pudding']"
482,126,"['3 c.', 'milk']"
483,127,"['1 c.', 'water,.5 c.', 'butter']"
484,127,"['1 tsp.', 'sugar']"
485,127,"['1 c.', 'all-purpose flour']"
486,128,"['2 eggs,.5 tsp.', 'grated onion']"
487,129,"['2 lb', 'ground beef']"
488,129,"['1 pkg.', 'dry onion mix']"
489,129,"['1 (No', '3) can B & M beans']"
490,129,"['2 cans green baby lima beans,.5 c.', 'dark brown sugar,.5 c.', 'dark or light Karo syrup']"
491,129,"['1 tsp.', 'chili powder']"
492,129,"['1 c.', 'ketchup']"
493,129,"['1 tbsp.', 'dry mustard']"
494,130,"['46 oz.', 'apricot nectar']"
495,130,"['1 1/4 c.', 'sugar']"
496,130,"['7 tbsp.', 'cornstarch']"
497,130,"['1 c.', 'chopped walnuts']"
498,131,"['8 oz.', 'pkg.', 'cream cheese (at room temperature)']"
499,131,"['3 to 4 oz.', 'sliced almonds']"
500,133,"['1 c.', 'mayonnaise']"
501,133,"['1 c.', 'grated Parmesan or Romano cheese']"
502,134,"['2.5 lb', 'onions']"
503,134,"['1 qt.', ""beef stock (3 cans Campbell's beef stock)""]"
504,134,"['1 qt.', ""chicken stock (3 cans Campbell's chicken stock)""]"
505,134,"['2 tbsp.', 'Worcestershire sauce']"
506,134,"['1.5 tsp.', 'garlic salt']"
507,134,"['1 tsp.', 'black pepper (you may wish to use less)']"
508,135,"['1 c.', 'sugar']"
509,135,"['2 tbsp.', 'flour']"
510,135,"['1 tsp.', 'cinnamon']"
511,136,"['1 lb', 'hamburger']"
512,136,"['1 c.', 'ketchup']"
513,136,"['3 tbsp.', 'Worcestershire sauce']"
514,136,"['1 tbsp.', 'mustard']"
515,136,"['2 tbsp.', 'sugar']"
516,137,"['3 c.', 'flour']"
517,137,"['3 c.', 'sugar']"
518,137,"['3 tbsp.', 'lemon flavor,.75 c.', '7-Up']"
519,138,"['8 oz.', 'pkg.', 'cream cheese,.667 c.', 'mayonnaise']"
520,138,"['1 c.', 'chopped candied dill pickles']"
521,138,"['2 tbsp.', 'chopped onion,.5 tsp.', 'horseradish']"
522,138,"['1 tbsp.', 'Worcestershire sauce']"
523,138,"['2 tsp.', 'Nance mustard']"
524,138,"['3 tbsp.', 'pickle juice']"
525,139,"['2 c.', 'sugar,.5 c.', 'milk']"
526,139,"['3 tbsp.', 'cocoa']"
527,139,"['3 heaping tbsp.', 'flour']"
528,139,"['2 tbsp.', 'butter']"
529,139,"['1 tsp.', 'vanilla']"
530,139,"['1 c.', 'boiling water']"
531,140,"['32 oz.', 'bag Tater Tots']"
532,140,"['2 lb', 'ground beef']"
533,141,"['2.5 tbsp.', 'cornstarch']"
534,141,"['1 c.', 'water']"
535,141,"['3.5 tbsp.', 'blackberry flavored gelatin']"
536,141,"['4 c.', 'fresh blackberries']"
537,142,"['16 oz.', 'Cool Whip']"
538,142,"['2 c.', 'coconut,.75 margarine']"
539,142,"['1 c.', 'slivered almonds']"
540,142,"['8 oz.', 'cream cheese']"
541,143,"['1 c.', 'sour cream,.5 tbsp.', 'minced onion,.5 tbsp.', 'parsley flakes,.5 tbsp.', 'dill weed']"
542,144,"['1 tbsp.', 'oil']"
543,144,"['5 oz.', 'frozen broccoli,.5 stick margarine']"
544,144,"['1 pkg.', 'Jiffy cornbread mix']"
545,144,"['6 oz.', 'cottage cheese']"
